# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-2.86533e+40,1,3.073e-22,2,3,0,6.63484e+40,0.229993,0.620855,0.149152,3.94772,65.1924
-1.04887e+40,1,5.03367e-22,3,7,0,2.39272e+40,0.229993,0.620855,0.149152,3.94772,65.7775
-3.90769e+39,1,8.17361e-22,1,1,0,8.78704e+39,0.229993,0.620855,0.149152,3.94772,66.3524
-1.4809e+39,1,1.31606e-21,1,1,0,3.28418e+39,0.229993,0.620855,0.149152,3.94772,66.9174
-5.70537e+38,1,2.10183e-21,1,1,0,1.2485e+39,0.229993,0.620855,0.149152,3.94772,67.4727
-2.23335e+38,1,3.3304e-21,1,1,0,4.82478e+38,0.229993,0.620855,0.149152,3.94772,68.0188
-8.87782e+37,1,5.2371e-21,1,1,0,1.89431e+38,0.229993,0.620855,0.149152,3.94772,68.556
-3.58185e+37,1,8.17513e-21,1,1,0,7.55223e+37,0.229993,0.620855,0.149152,3.94772,69.0845
-1.46602e+37,1,1.26712e-20,1,1,0,3.05577e+37,0.229993,0.620855,0.149152,3.94772,69.6046
-6.08408e+36,1,1.95059e-20,3,7,0,1.2542e+37,0.229993,0.620855,0.149152,3.94772,70.1167
-2.55898e+36,1,2.98291e-20,1,1,0,5.21923e+36,0.229993,0.620855,0.149152,3.94772,70.6209
-1.09035e+36,1,4.5325e-20,1,1,0,2.20107e+36,0.229993,0.620855,0.149152,3.94772,71.1177
-4.70433e+35,1,6.84465e-20,1,1,0,9.40279e+35,0.229993,0.620855,0.149152,3.94772,71.6071
-2.05443e+35,1,1.02747e-19,2,3,0,4.06713e+35,0.229993,0.620856,0.149152,3.94772,72.0895
-9.07759e+34,1,1.53349e-19,1,1,0,1.78053e+35,0.229993,0.620856,0.149152,3.94772,72.565
-4.05671e+34,1,2.27596e-19,7,127,0,7.88625e+34,0.229993,0.620856,0.149152,3.94772,73.034
-1.83292e+34,1,3.3597e-19,1,1,0,3.53255e+34,0.229993,0.620856,0.149152,3.94772,73.4966
-8.37011e+33,1,4.93357e-19,1,1,0,1.59973e+34,0.229992,0.620856,0.149152,3.94772,73.953
-3.86181e+33,1,7.20809e-19,1,1,0,7.32141e+33,0.229992,0.620856,0.149152,3.94772,74.4034
-1.79964e+33,1,1.04796e-18,1,1,0,3.38525e+33,0.229992,0.620856,0.149152,3.94772,74.8479
-8.46806e+32,1,1.51636e-18,1,1,0,1.58087e+33,0.229992,0.620856,0.149152,3.94772,75.2869
-4.02216e+32,1,2.18401e-18,2,3,0,7.45388e+32,0.229992,0.620856,0.149152,3.94772,75.7204
-1.92793e+32,1,3.13156e-18,4,15,0,3.5475e+32,0.229992,0.620856,0.149152,3.94772,76.1485
-9.32315e+31,1,4.47075e-18,3,7,0,1.70371e+32,0.229992,0.620856,0.149152,3.94772,76.5716
-4.54741e+31,1,6.35575e-18,1,1,0,8.25444e+31,0.229992,0.620856,0.149152,3.94772,76.9896
-4.54741e+31,0,3.59943e-17,0,1,1,4.54741e+31,0.229992,0.620856,0.149152,3.94772,76.9896
-4.54741e+31,0,8.4049e-17,0,1,1,4.54741e+31,0.229992,0.620856,0.149152,3.94772,76.9896
-1.09966e+31,1,8.28718e-18,3,7,0,4.26185e+31,0.229992,0.620856,0.149152,3.94772,77.8161
-7.12768e+30,1,8.63112e-18,2,3,0,1.08386e+31,0.229992,0.620856,0.149152,3.94772,78.0686
-4.27015e+30,1,1.16741e-17,2,3,0,6.99616e+30,0.229992,0.620856,0.149152,3.94772,78.3669
-3.4903e+30,1,1.82565e-17,1,1,0,4.20177e+30,0.229992,0.620856,0.149152,3.94772,78.4843
-2.16074e+30,1,3.10766e-17,1,1,0,3.25865e+30,0.229992,0.620856,0.149152,3.94772,78.7635
-8.28118e+29,1,5.56096e-17,1,1,0,1.81977e+30,0.229992,0.620856,0.149152,3.94772,79.3219
-2.33636e+29,1,1.02398e-16,5,31,0,6.64049e+29,0.229992,0.620856,0.149152,3.94772,80.0587
