# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.09800    19986406.00000000 12327975.00000000 31393134.00000000 11042.48730469  911282.00000000 715252.18750000 
0.09900    19834498.00000000 12238171.00000000 31159406.00000000 10896.65136719  901664.12500000 707805.31250000 
0.10000    19687270.00000000 12151340.00000000 30933064.00000000 10754.44824219  892301.68750000 700568.00000000 
0.10100    19544374.00000000 12067011.00000000 30713662.00000000 10615.59667969  883176.75000000 693518.00000000 
0.10200    19405498.00000000 11985285.00000000 30500340.00000000 10479.75097656  874273.25000000 686641.31250000 
0.10300    19269812.00000000 11905451.00000000 30292302.00000000 10346.64257812  865558.56250000 679902.87500000 
0.10400    19137070.00000000 11827528.00000000 30088708.00000000 10215.92480469  857015.25000000 673298.87500000 
0.10500    19007142.00000000 11751157.00000000 29889334.00000000 10087.28125000  848617.00000000 666813.12500000 
0.10600    18878934.00000000 11675994.00000000 29693020.00000000 9960.62890625   840335.43750000 660421.00000000 
0.10700    18752620.00000000 11601896.00000000 29499408.00000000 9835.56445312   832159.12500000 654110.50000000 
0.10800    18627268.00000000 11528619.00000000 29307658.00000000 9711.87011719   824070.12500000 647860.75000000 
0.10900    18503104.00000000 11455879.00000000 29117478.00000000 9589.29589844   816042.18750000 641662.93750000 
0.11000    18379416.00000000 11383533.00000000 28928216.00000000 9467.76855469   808065.87500000 635503.93750000 
0.11100    18256044.00000000 11311197.00000000 28739010.00000000 9346.99023438   800114.12500000 629362.06250000 
0.11200    18132326.00000000 11238896.00000000 28549908.00000000 9226.69726562   792177.87500000 623231.62500000 
0.11300    18008254.00000000 11166289.00000000 28360020.00000000 9106.93359375   784243.56250000 617101.75000000 
0.11400    17883514.00000000 11093155.00000000 28168962.00000000 8987.35546875   776296.18750000 610957.68750000 
0.11500    17757960.00000000 11019490.00000000 27976294.00000000 8867.96777344   768319.25000000 604791.37500000 
0.11600    17631052.00000000 10944992.00000000 27781832.00000000 8748.66699219   760305.18750000 598596.68750000 
0.11700    17502546.00000000 10869593.00000000 27584910.00000000 8629.07128906   752242.31250000 592359.25000000 
0.11800    17372510.00000000 10793156.00000000 27385440.00000000 8509.37304688   744123.00000000 586076.68750000 
0.11900    17240562.00000000 10715517.00000000 27182806.00000000 8389.40234375   735933.62500000 579733.81250000 
0.12000    17106598.00000000 10636554.00000000 26977174.00000000 8269.06933594   727672.00000000 573335.75000000 
0.12100    16970448.00000000 10556285.00000000 26768006.00000000 8148.36474609   719333.31250000 566873.25000000 
0.12200    16831918.00000000 10474477.00000000 26554988.00000000 8027.23828125   710911.25000000 560342.12500000 
0.12300    16691033.00000000 10391151.00000000 26338074.00000000 7905.62255859   702397.75000000 553743.62500000 
0.12400    16547661.00000000 10306205.00000000 26117292.00000000 7783.51757812   693800.75000000 547063.87500000 
0.12500    16401546.00000000 10219586.00000000 25892272.00000000 7660.93310547   685100.06250000 540312.18750000 
0.12600    16252826.00000000 10131278.00000000 25663038.00000000 7537.88281250   676310.12500000 533487.00000000 
0.12700    16101392.00000000 10041207.00000000 25429388.00000000 7414.34960938   667426.93750000 526577.62500000 
0.12800    15947224.00000000 9949436.00000000 25191338.00000000 7290.39111328   658444.56250000 519593.75000000 
0.12900    15790332.00000000 9855859.00000000 24948772.00000000 7166.10009766   649369.43750000 512532.25000000 
0.13000    15630599.00000000 9760527.00000000 24701958.00000000 7041.39892578   640207.12500000 505399.43750000 
0.13100    15468286.00000000 9663437.00000000 24450870.00000000 6916.39062500   630955.56250000 498191.71875000 
0.13200    15303183.00000000 9564602.00000000 24195302.00000000 6791.18896484   621617.62500000 490918.84375000 
0.13300    15135499.00000000 9464086.00000000 23935612.00000000 6665.77880859   612203.06250000 483576.53125000 
0.13400    14965326.00000000 9361944.00000000 23671752.00000000 6540.29931641   602715.43750000 476172.96875000 
0.13500    14792579.00000000 9258145.00000000 23403966.00000000 6414.78466797   593146.37500000 468707.81250000 
