# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-1608.84,0.958094,0.000221005,10,1023,0,1613.37,0.24243,0.0458625,0.174473,0.367339,0.169895,3.57025
-1608.84,0.0693587,0.0197015,1,3,0,1614.09,0.24243,0.0458625,0.174473,0.367339,0.169895,3.57025
-1608.84,0,0.0521875,0,1,1,1611.7,0.24243,0.0458625,0.174473,0.367339,0.169895,3.57025
-1609.4,0.995454,0.0053416,8,511,0,1611.37,0.261095,0.0379073,0.17405,0.378364,0.148583,3.56002
-1607.76,0.992582,0.00561486,9,831,0,1612.88,0.24397,0.0638581,0.15513,0.357996,0.179046,3.5356
-1609.91,0.907125,0.0075285,7,255,0,1616.11,0.247639,0.0566697,0.153975,0.380008,0.161707,3.53444
-1608.52,0.885021,0.00898967,7,255,0,1612.3,0.207765,0.0608816,0.15999,0.403599,0.167765,3.57696
-1608.06,0.754738,0.0107307,6,79,0,1611.5,0.205743,0.0624342,0.154187,0.403958,0.173678,3.56759
-1607.41,0.99937,0.00888134,8,511,0,1611.3,0.195375,0.0381505,0.174876,0.448221,0.143377,3.62016
-1607.66,0.88486,0.0161286,5,63,0,1609.69,0.194635,0.0413532,0.177022,0.440846,0.146144,3.62454
-1608.59,0.271803,0.0208316,2,5,1,1610.22,0.195755,0.0410428,0.177286,0.440043,0.145873,3.62577
-1609.54,0.999781,0.00390809,9,543,0,1610.54,0.223891,0.0252779,0.182632,0.441973,0.126226,3.61422
-1609.48,0.998136,0.0073783,6,63,0,1610.93,0.223864,0.023247,0.180666,0.440521,0.131702,3.60873
-1607.24,0.129602,0.013907,7,255,0,1615.98,0.226821,0.0396393,0.174509,0.407836,0.151194,3.5911
-1609.99,0.997359,0.00171985,7,255,0,1611.65,0.232286,0.0403668,0.1776,0.402277,0.14747,3.59029
-1607.44,0.998635,0.00326626,7,255,0,1610.81,0.219495,0.0411811,0.169936,0.415948,0.15344,3.58838
-1608.14,0.992138,0.00620244,8,351,0,1608.92,0.216727,0.0452783,0.168036,0.423837,0.146122,3.58908
-1609.36,0.857802,0.0114741,6,95,0,1611.16,0.220536,0.0464936,0.173657,0.404264,0.15505,3.59509
-1608.35,0.997831,0.0139806,7,191,0,1611.92,0.241519,0.0435136,0.173207,0.378618,0.163142,3.57331
-1608.35,2.43683e-24,0.0259901,1,2,1,1610.02,0.241519,0.0435136,0.173207,0.378618,0.163142,3.57331
-1608.15,0.999642,0.00238467,5,63,0,1608.9,0.241658,0.0433962,0.174749,0.377502,0.162694,3.57315
-1609.43,0.980716,0.00448423,9,575,0,1612.15,0.168832,0.0520181,0.159525,0.466571,0.153054,3.61734
-1609.53,0.99119,0.00789694,9,511,0,1612.79,0.254941,0.0564942,0.16409,0.351606,0.172869,3.54124
-1607.53,0.845622,0.0142128,4,31,0,1610.56,0.246165,0.0581852,0.160733,0.357594,0.177323,3.54356
-1608.07,0.634036,0.0165953,6,95,0,1609.14,0.239917,0.0549005,0.158475,0.374059,0.172648,3.54674
-1607.53,0.962439,0.0105063,4,27,0,1608.63,0.241888,0.0555493,0.15929,0.372084,0.171188,3.54561
-1607.29,0.966027,0.0171349,5,63,0,1607.91,0.23762,0.0564142,0.159193,0.375929,0.170844,3.55043
-1607.29,4.76696e-13,0.0280013,1,1,0,1608.07,0.23762,0.0564142,0.159193,0.375929,0.170844,3.55043
-1607,0.996259,0.00300969,10,1023,0,1610.64,0.223151,0.0483814,0.16647,0.401753,0.160245,3.57823
-1608.22,0.951945,0.00538569,8,383,0,1609.55,0.207068,0.058455,0.158815,0.406231,0.169431,3.57799
-1607.48,0.845012,0.00844502,7,231,0,1611.98,0.205582,0.0539769,0.156149,0.426358,0.157935,3.57624
-1609.17,0.999257,0.00980694,8,383,0,1610.33,0.244072,0.0754556,0.144057,0.349682,0.186734,3.5158
-1609.65,0.317896,0.0172716,7,203,1,1612.74,0.18048,0.0786445,0.140413,0.426273,0.17419,3.56658
-1610.57,0.999989,0.00480825,7,255,0,1614.18,0.163281,0.0858648,0.137925,0.424588,0.188342,3.57403
-1610.74,0.966658,0.00845534,2,7,0,1611.45,0.163493,0.0856926,0.137094,0.424874,0.188847,3.57476
-1608.77,0.659124,0.013488,8,447,0,1614.02,0.244542,0.0200569,0.195322,0.400682,0.139396,3.61218
-1611.69,0.879268,0.00951332,8,255,0,1613.13,0.267686,0.0107265,0.205227,0.378353,0.138008,3.61089
-1612.61,0.686696,0.0119808,9,575,0,1617.89,0.220011,0.00428934,0.210281,0.444975,0.120443,3.66811
-1610.7,0.998171,0.00913216,9,639,0,1614.28,0.190352,0.0108492,0.19765,0.48891,0.112239,3.67236
-1611.41,0.430035,0.0155556,7,191,0,1612.72,0.177451,0.0126676,0.198586,0.492623,0.118672,3.68689
-1610.83,0.964437,0.00617613,8,255,0,1613.07,0.174834,0.013247,0.193458,0.508618,0.109843,3.68023
-1608.8,0.994368,0.0096091,8,511,0,1612.89,0.212905,0.0205233,0.191995,0.447814,0.126763,3.63811
-1607.98,0.114393,0.01601,8,255,0,1610.51,0.211954,0.0246281,0.190361,0.439694,0.133364,3.63575
-1607.13,0.999997,0.00295265,9,1023,0,1608.76,0.228701,0.0327206,0.180562,0.414533,0.143483,3.60087
-1607.3,0.969721,0.00499321,6,111,0,1608.12,0.225261,0.0327307,0.18172,0.41334,0.146948,3.60442
-1607.38,0.948404,0.00777877,7,255,0,1609.85,0.214136,0.0382458,0.175776,0.426534,0.145308,3.60418
-1607.05,0.986277,0.0114308,6,127,0,1608.01,0.216064,0.0392137,0.173536,0.426902,0.144284,3.5997
-1607.05,0.000754203,0.0183103,2,5,0,1610.59,0.216064,0.0392137,0.173536,0.426902,0.144284,3.5997
-1606.99,0.999998,0.00272191,9,1023,0,1610.69,0.223356,0.0386145,0.173261,0.418574,0.146194,3.59225
-1609.35,0.999749,0.00451963,9,895,0,1610.6,0.233436,0.0166547,0.19106,0.425699,0.133151,3.6169
-1611.41,0.731379,0.00744794,5,63,0,1614.57,0.228735,0.016947,0.188801,0.430213,0.135304,3.61659
-1609.42,0.997408,0.0259035,6,127,0,1613.04,0.224909,0.0111182,0.19577,0.445347,0.122857,3.63582
-1609.42,0,0.370884,0,1,1,1614.36,0.224909,0.0111182,0.19577,0.445347,0.122857,3.63582
-1609.84,0.295457,0.0625923,1,3,1,1610.76,0.223683,0.0111055,0.195824,0.444872,0.124515,3.63615
-1609.78,0.948331,0.0135555,5,47,0,1611.18,0.224766,0.011045,0.19567,0.445384,0.123135,3.63631
-1606.87,0.958606,0.0167354,7,239,0,1616.62,0.223449,0.0423052,0.170765,0.409061,0.154419,3.58598
-1607.96,0.505088,0.0238369,4,25,0,1609.28,0.220734,0.0462158,0.171522,0.407034,0.154495,3.58857
-1607.99,1,0.00906017,8,343,0,1608.35,0.208819,0.0530022,0.163301,0.419136,0.155742,3.58491
-1609.77,0.895571,0.0159714,7,203,0,1611.52,0.22614,0.0291762,0.186337,0.418954,0.139392,3.61618
-1608.64,0.999881,0.0209944,7,151,0,1611.56,0.198492,0.0504816,0.162832,0.426066,0.162129,3.59335
-1608.97,0.280621,0.0389901,1,3,0,1609.54,0.198404,0.0501943,0.163016,0.426108,0.162278,3.59384
-1609.22,0.992948,0.00752521,6,127,0,1612.11,0.202733,0.0538483,0.161664,0.430991,0.150763,3.58893
-1610.38,0.999054,0.0138979,6,79,0,1612.34,0.20212,0.0553467,0.162301,0.428829,0.151403,3.59275
-1607.01,0.877827,0.026243,4,23,0,1610.78,0.199782,0.0519389,0.162793,0.430541,0.154944,3.5927
