# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1332303752
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-4.71601e+106,0,1.3412e-50,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,4.75658e-51,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,1.70025e-51,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,6.12456e-52,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.22287e-52,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,8.12758e-53,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.99333e-53,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,1.11028e-53,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,4.14695e-54,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,1.55952e-54,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-1.95165e+106,1,5.90418e-55,4,15,0,4.04824e+106,0.106579,0.409725,0.253804,0.0176079,0.139671,0.072613,0.159861,6.41565
-6.03581e+104,1,1.59612e-54,2,3,0,1.65731e+106,0.107527,0.40929,0.253535,0.0175892,0.139523,0.0725359,0.159861,8.43732
