# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-381.978,0.995239,0.0117695,8,383,0,384.735,0.0489584,0.500623,0.169069,0.281349,0.897975
-380.886,0.998121,0.019034,8,255,0,383.331,0.140029,0.460162,0.138109,0.261701,0.901248
-381.264,0.852431,0.0307923,6,99,0,383.362,0.100057,0.457964,0.184062,0.257918,0.905615
-383.69,0.998716,0.0354273,7,127,0,383.869,0.0263768,0.533346,0.143904,0.296373,0.891406
-383.064,0.542903,0.056806,7,127,0,384.585,0.0448723,0.531829,0.134457,0.288842,0.891567
-384.676,0.926437,0.0322069,7,223,0,385.995,0.0131201,0.501491,0.200536,0.284853,0.900177
-384.514,0.525661,0.0436415,6,127,0,391.402,0.043134,0.539936,0.132331,0.284599,0.890856
-383.192,0.999496,0.0240064,4,27,0,384.966,0.0433093,0.535627,0.131754,0.289309,0.891077
-382.807,0.974674,0.0381955,7,255,0,383.846,0.0691806,0.450836,0.211545,0.268439,0.907191
-381.537,0.215986,0.0571991,7,127,0,384.756,0.120223,0.450518,0.173104,0.256155,0.906015
-382.07,0.999939,0.0160601,6,63,0,382.477,0.131089,0.427369,0.176592,0.26495,0.906444
-383.279,0.974851,0.0254211,8,255,0,383.791,0.179087,0.427041,0.165775,0.228098,0.91023
-384.348,0.827196,0.0378962,7,127,0,385.628,0.123184,0.51593,0.106596,0.25429,0.894632
-385.448,0.940967,0.0408625,6,63,0,386.272,0.195988,0.453965,0.0880776,0.261969,0.898567
-382.69,0.093217,0.0562181,7,127,0,388.467,0.180512,0.440869,0.150072,0.228548,0.908266
-383.123,0.986419,0.0125813,8,383,0,386.247,0.061262,0.527496,0.138069,0.273173,0.894646
-385.276,0.999904,0.0191194,6,63,0,389.127,0.038384,0.506107,0.148231,0.307277,0.892284
